"","reagent_id","gene_symbol","migration","elongatedness","cluster"
"108","M-015299-00","MOB3A",0.284249,1.63102,"6"
"109","M-015565-01","ITFG2",0.580604,1.47484,"5"
"110","M-015629-02","SCGB1C1",0.631732,1.56336,"2"
"111","M-015712-02","STRC",0.582921,1.47899,"3"
"112","M-015938-00","SMCR7L",0.736728,1.54611,"4"
"113","M-015952-01","ZNF76",0.383092,1.59627,"2"
"114","M-016089-02","TMIGD2",1.03808,1.57198,"6"
"115","M-016103-00","LRRC57",0.917462,1.57457,"3"
"116","M-016285-01","PIK3AP1",0.526197,1.53944,"5"
"117","M-016490-00","FCRL2",0.594011,1.54441,"2"
"118","M-016674-00","CALM2",0.735807,1.49077,"4"
"119","M-016725-00","ISL2",0.797689,1.50718,"1"
"120","M-017060-00","SPICE1",0.29553,1.49933,"3"
"121","M-017312-01","PPAP2B",0.631412,1.41699,"1"
"122","M-017594-00","PGBD5",0.917112,1.59028,"1"
"123","M-017689-00","DBP",0.567459,1.41162,"3"
"124","M-017735-01","PTH2",0.409311,1.48144,"1"
"125","M-018193-01","RNASE7",0.533972,1.5213,"4"
"126","M-018770-01","ALS2CR11",0.728822,1.41342,"5"
"127","M-018941-02","KRT80",0.70209,1.54861,"2"
"128","M-019098-01","PPAP2A",1.09794,1.51558,"4"
"129","M-019190-02","EFNA3",0.648649,1.48333,"4"
"130","M-019358-00","MARC1",1.02613,1.54162,"3"
"131","M-019847-03","COPB2",0.480125,1.59837,"2"
"132","M-020061-02","SF3B1",0.302381,1.52051,"1"
"133","M-020062-01","TUBA1B",0.407795,1.45598,"3"
"134","M-020420-01","PPP6R1",0.68725,1.40488,"1"
"135","M-020449-01","CRCT1",0.636496,1.60281,"2"
"136","M-020535-01","TTLL3",0.238472,1.45658,"6"
"137","M-020574-00","C17orf59",0.479032,1.71141,"3"
"138","M-020909-00","SCN1B",0.690993,1.4481,"6"
"139","M-021064-02","ELP2",0.71698,1.48969,"4"
"140","M-021478-01","MYL7",0.547571,1.5435,"3"
"141","M-022324-01","MESP2",0.536218,1.49795,"2"
"142","M-023101-01","CWC22",0.505207,1.5253,"1"
"143","M-023299-00","TMEM132E",0.468022,1.43297,"4"
"144","M-024028-01","OR10H4",0.763536,1.51034,"4"
"145","M-027202-01","C7orf55",-0.19875,1.4432,"3"
"146","M-027454-02","FLG2",0.462087,1.66835,"3"
"147","M-029708-01","TAKR",0.787318,1.4304,"4"
"148","M-031740-01","SLC22A25",0.638366,1.42746,"2"
"149","M-031748-00","KANSL1",0.61937,1.50783,"5"
"150","M-031997-00","GPR152",0.115684,1.47224,"5"
"151","M-032279-02","APOBEC3D",0.549333,1.62539,"4"
"152","M-032512-00","SYNGAP1",0.56605,1.56433,"4"
"153","M-036201-00","PRR21",0.855781,1.50457,"2"
